country,gas,year,emission,population,per_capital,emission_per_capital,emission_per_pop,change_in_emission
New Zealand,SF6E,2020,16685.422931472,5084300,41930.0899441167,0.39793434628234486,0.003281754210308597,4.407081300540573
New Zealand,SF6E,2021,15730.869606780001,5122600,48823.5077795339,0.3221986768712704,0.0030708760408347325,-5.720881805707919
Russia,SF6E,1990,1437786.264576804,147969407,3878.64558197748,370.69287053646343,0.00971678060841863,9039.90326356223
Russia,SF6E,1991,1332341.365390296,148319525.5,3797.78752917599,350.82040665907806,0.0089829128086733,-7.333836870221062
Russia,SF6E,1992,627249.630764016,148424185.5,3315.06664851014,189.21177076361798,0.004226060790908069,-52.921252236263825
Russia,SF6E,1993,451046.64613728,148302344,3094.82560908906,145.74218489488408,0.0030413993061180473,-28.091365221229935
Russia,SF6E,1994,385846.710951,148187862.5,2760.7410484872,139.76200743725383,0.0026037673021365023,-14.455253296892009
Russia,SF6E,1995,685288.21088472,148074722,2708.01015671625,253.05969004034486,0.004627989177549967,77.60633729277716
Russia,SF6E,1996,1293770.210937984,148160129,2663.91616872409,485.66476157455384,0.00873224274081176,88.79213014152138
Russia,SF6E,1997,1293636.4830906962,147915361,2756.68555223552,469.27241376573704,0.008745788634425171,-0.010336290490947713
Russia,SF6E,1998,1097139.944193432,147670784,1847.88670645702,593.7268450277422,0.007429634450870337,-15.189471035000778
Russia,SF6E,1999,942227.385936168,147214776,1339.13204313858,703.6105145597369,0.006400358792354974,-14.119671704337483
Russia,SF6E,2000,958454.608704576,146596869,1781.24847960849,538.0802396054479,0.0065380291901362235,1.7222193931760055
Russia,SF6E,2001,1122571.843887084,145976482,2111.66761325676,531.6044233665051,0.007690086981867969,17.123109815740232
Russia,SF6E,2002,1193330.141948484,145328755,2389.91713207911,499.3186273828438,0.008211245888320477,6.303231142551026
Russia,SF6E,2003,1345208.2141689959,144648618,2998.06961922061,448.6914531753607,0.00929983454227676,12.727246792955688
Russia,SF6E,2004,1478294.55515832,144067316,4133.77209978318,357.613946650774,0.010261137614018714,9.893363688054679
Russia,SF6E,2005,1568440.2353781841,143496516.5,5365.05674836042,292.3436431231608,0.01093016244319899,6.097951176598207
Russia,SF6E,2006,1584560.992014432,143049637,6973.85527991833,227.214493047666,0.011077001139222968,1.0278209059308476
Russia,SF6E,2007,1609617.163356408,142513041,9170.2644056918,175.52570919954618,0.011294525413687636,1.5812689740722652
Russia,SF6E,2008,1144793.685210324,142375602,11720.9281582864,97.67090709458735,0.008040659137724481,-28.877890266578937
Russia,SF6E,2009,1072122.684076332,142344664,8623.8036670827,124.3213233353925,0.007531878287171566,-6.347956149027902
Russia,SF6E,2010,996226.01704944,143047383,10749.9102420029,92.67296141291551,0.006964307882860324,-7.079102807369426
Russia,SF6E,2011,824595.4417071119,142908722,14270.7723488906,57.782117291725655,0.005770084779759712,-17.228075999325213
Russia,SF6E,2012,5510191.16596578,143129056.5,15374.9561173183,358.38744019302396,0.03849806112545554,568.2296417450904
Russia,SF6E,2013,5164369.9300751155,143507000,15924.7016370399,324.29932112907545,0.03598688516988799,-6.276029732446705
Russia,SF6E,2014,1074389.970675036,146090600,14272.03531141,75.2793800766523,0.007354271737367333,-79.19610745895173
Russia,SF6E,2015,1028586.7282935239,146406000,9424.87996336878,109.1352603206918,0.007025577696908077,-4.263185959631971
Russia,SF6E,2016,900514.4586585839,146674500,8798.79940487206,102.34515156237705,0.006139543401604123,-12.451285449445587
Russia,SF6E,2017,1151779.141104696,146842400,10822.7702499791,106.42184158967251,0.007843641489819671,27.902348488707084
Russia,SF6E,2018,1078410.0970077,146880432,11378.6659729545,94.77473893432939,0.007342095079130077,-6.370061887613823
Russia,SF6E,2019,1063391.079729072,146764700,11617.1844603778,91.53604157323414,0.007245550733446612,-1.3926999867955354
Russia,SF6E,2020,1051311.5454932519,146459800,10227.9164699323,102.78843678317709,0.007178157729924879,-1.1359446647697822
Russia,SF6E,2021,1176770.35828272,147212341,12258.7720197789,95.99414659021812,0.007993693669219756,11.933552268809683
Turkiye,SF6E,1996,10054.8,60750239,4146.10492601669,2.4251195228819262,1.655104599670793e-4,-99.14555971526397
Turkiye,SF6E,1997,11103.6,61707887,4268.70219929025,2.601165291372675,1.7993810094323924e-4,10.430839002267584
Turkiye,SF6E,1998,11901.6,62725970,4433.35405839053,2.6845588787286525,1.897395927077732e-4,7.186858316221765
